what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1328349086679
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1328349086684
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1328349086688
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1328349086691
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1328349086693
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1328349086695
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1328349086710
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1328349086718
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1328349086737
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1328349086742
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1328349086744
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1328349086746
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1328349086746
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1328349086788
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1328349086789
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1328349086790
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1328349086793
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328349086794
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1328349086795
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328349086799
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1328349086803
os,sysinfo,,,"macosx",1328349086809
arch,sysinfo,,,"x86_64",1328349086809
ws,sysinfo,,,"cocoa",1328349086809
locale,sysinfo,,,"en_US",1328349086809
processors,sysinfo,,,"4",1328349086809
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328349086809
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1328349086809
java.specification.name,sysinfo,,,"Java Platform API Specification",1328349086809
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328349086809
java.specification.version,sysinfo,,,"1.6",1328349086809
java.vendor,sysinfo,,,"Apple Inc.",1328349086809
